"Time","{container_name=""bff-grpc-api""}","{container_name=""brands-grpc-api""}","{container_name=""categories-grpc-api""}","{container_name=""images-grpc-api""}","{container_name=""products-grpc-api""}","{container_name=""sellers-grpc-api""}"
2025-09-08 19:49:00,0.00000356,0.00000396,0.00000507,0.00000387,0.00000426,0.00000196
2025-09-08 19:49:15,0,0.00000396,0.00000507,0.00000387,0,0
2025-09-08 19:49:30,0.000169,0.0000877,0.000136,0.0000938,0.0000923,0.0000462
2025-09-08 19:49:45,0.0582,0.0173,0.0178,0.0178,0.0198,0.0174
2025-09-08 19:50:00,0.821,0.151,0.149,0.140,0.161,0.146
2025-09-08 19:50:15,1.17,0.214,0.210,0.198,0.225,0.206
2025-09-08 19:50:30,1.88,0.345,0.334,0.320,0.357,0.342
2025-09-08 19:50:45,1.68,0.309,0.299,0.285,0.317,0.306
2025-09-08 19:51:00,1.32,0.241,0.233,0.226,0.246,0.242
2025-09-08 19:51:15,0.624,0.113,0.110,0.108,0.115,0.115
2025-09-08 19:51:30,0.267,0.0472,0.0476,0.0455,0.0489,0.0466
2025-09-08 19:51:45,8.91e-7,0,0.00000104,0.00000180,0,0
2025-09-08 19:52:00,8.91e-7,0.00000336,0.00000104,0.00000180,0.00000402,0.00000369